class_cd,gender,lunch,pretest,posttest
62L,Female,pay,65,72
62L,Female,pay,69,79
62L,Female,pay,62,68
62L,Male,pay,68,74
62L,Female,pay,63,71
62L,Female,pay,70,75
NWZ,Female,pay,54,68
NWZ,Female,pay,62,69
NWZ,Male,pay,58,67
NWZ,Male,pay,60,68
NWZ,Female,pay,63,72
NWZ,Male,pay,56,69
NWZ,Male,pay,57,66
NWZ,Male,pay,58,68
NWZ,Male,pay,56,69
NWZ,Male,pay,56,67
NWZ,Male,pay,60,69
NWZ,Male,pay,65,72
NWZ,Male,pay,62,67
NWZ,Female,pay,63,71
NWZ,Female,pay,57,68
NWZ,Female,pay,52,66
NWZ,Female,pay,58,69
NWZ,Female,pay,57,67
NWZ,Male,pay,58,67
NWZ,Male,pay,60,66
NWZ,Female,free,51,62
S98,Female,pay,73,79
S98,Male,pay,67,77
S98,Female,pay,68,79
S98,Male,pay,70,78
S98,Male,pay,68,77
S98,Female,pay,66,71
S98,Male,pay,65,81
S98,Female,pay,70,77
S98,Female,pay,67,79
S98,Female,pay,64,71
S98,Male,pay,64,77
S98,Female,pay,67,75
S98,Male,pay,65,73
S98,Male,pay,67,75
S98,Female,pay,68,76
S98,Female,pay,72,73
S98,Male,pay,69,79
S98,Male,pay,71,79
S98,Female,pay,71,81
S98,Male,pay,68,77
S98,Male,pay,68,78
08N,Female,pay,84,95
08N,Female,pay,83,93
08N,Male,pay,84,91
08N,Female,pay,87,94
08N,Female,pay,80,94
08N,Male,pay,76,93
08N,Female,pay,91,98
08N,Male,pay,82,94
08N,Male,pay,83,91
08N,Female,pay,82,94
08N,Male,pay,85,94
08N,Male,pay,82,95
08N,Female,pay,84,94
08N,Female,pay,84,99
08N,Male,pay,86,96
08N,Male,pay,81,91
08N,Female,pay,87,91
08N,Female,pay,83,98
08N,Male,pay,89,94
08N,Male,pay,79,89
08N,Female,pay,87,93
9AW,Male,pay,81,94
9AW,Female,pay,87,97
9AW,Female,pay,82,93
9AW,Female,pay,84,93
9AW,Male,pay,82,93
9AW,Female,pay,81,93
9AW,Male,pay,86,94
9AW,Female,pay,83,90
9AW,Female,pay,85,88
9AW,Female,pay,85,97
9AW,Female,pay,86,93
9AW,Male,pay,83,94
9AW,Female,pay,86,95
9AW,Female,pay,81,94
9AW,Female,pay,80,92
9AW,Male,pay,84,92
9AW,Male,pay,83,93
9AW,Male,pay,82,91
9AW,Female,pay,87,92
9AW,Female,pay,86,93
9AW,Female,pay,81,92
9AW,Female,pay,84,94
9AW,Male,pay,86,96
9AW,Male,pay,82,95
9AW,Male,pay,85,91
IPU,Female,pay,77,89
IPU,Female,pay,76,96
IPU,Male,pay,77,90
IPU,Male,pay,74,95
IPU,Female,pay,75,93
IPU,Male,pay,81,89
IPU,Male,pay,75,92
IPU,Male,pay,76,93
IPU,Female,pay,73,93
IPU,Female,pay,79,91
IPU,Male,pay,79,92
IPU,Female,pay,68,88
IPU,Female,pay,76,93
IPU,Male,pay,79,93
IPU,Male,pay,75,88
IPU,Female,pay,72,91
IPU,Male,pay,76,90
IPU,Male,pay,79,93
IPU,Female,pay,75,90
KXB,Male,pay,74,86
KXB,Male,pay,76,95
KXB,Male,pay,72,88
KXB,Male,pay,78,96
KXB,Male,pay,74,95
KXB,Male,pay,75,90
KXB,Female,pay,76,92
KXB,Female,pay,75,90
KXB,Male,pay,71,85
KXB,Female,pay,78,89
KXB,Female,pay,75,90
KXB,Male,pay,75,85
KXB,Female,pay,76,90
KXB,Male,pay,81,85
KXB,Male,pay,74,91
KXB,Female,pay,67,88
KXB,Male,pay,73,91
KXB,Female,pay,75,93
PGH,Female,pay,75,91
PGH,Female,pay,70,84
PGH,Female,pay,74,90
PGH,Female,pay,73,91
PGH,Female,pay,71,92
PGH,Male,pay,70,86
PGH,Male,pay,76,95
PGH,Female,pay,74,90
PGH,Male,pay,71,85
PGH,Male,pay,73,92
PGH,Female,pay,71,90
PGH,Female,pay,74,93
PGH,Male,pay,71,89
PGH,Female,pay,74,88
PGH,Male,pay,73,92
PGH,Male,pay,72,82
PGH,Male,pay,70,90
PGH,Female,pay,69,90
PGH,Female,pay,72,90
PGH,Female,pay,75,91
PGH,Female,pay,72,86
PGH,Male,pay,71,91
PGH,Male,pay,72,96
XXE,Female,pay,81,90
XXE,Female,pay,83,88
XXE,Male,pay,78,82
XXE,Male,pay,82,87
XXE,Female,pay,77,88
XXE,Male,pay,80,92
XXE,Female,pay,75,86
XXE,Female,pay,84,93
XXE,Female,pay,80,95
XXE,Male,pay,78,89
XXE,Female,pay,77,90
XXE,Female,pay,77,82
XXE,Male,pay,79,87
XXE,Female,pay,81,93
XXE,Male,pay,82,89
XXE,Female,pay,77,88
XXE,Male,pay,79,89
XXE,Male,pay,80,87
XXE,Male,pay,78,92
XXE,Male,pay,77,84
XXE,Female,pay,78,89
XXE,Female,pay,78,87
6C1,Female,pay,62,75
6C1,Female,pay,55,69
6C1,Female,pay,62,70
6C1,Female,free,56,67
6C1,Male,pay,59,70
6C1,Male,pay,60,72
6C1,Male,pay,65,75
6C1,Male,pay,67,76
6C1,Female,pay,59,72
6C1,Female,free,57,62
6C1,Female,pay,60,72
6C1,Male,pay,61,78
6C1,Male,pay,55,71
6C1,Male,pay,62,74
6C1,Female,pay,62,73
6C1,Male,pay,62,71
AE1,Male,pay,68,82
AE1,Male,free,64,82
AE1,Male,pay,65,82
AE1,Male,pay,69,81
AE1,Female,pay,72,88
AE1,Male,pay,63,81
AE1,Female,pay,70,84
AE1,Male,pay,67,87
AE1,Male,pay,68,83
AE1,Female,pay,78,87
AE1,Female,pay,75,87
AE1,Female,pay,72,81
AE1,Male,pay,68,86
AE1,Male,pay,67,79
AE1,Male,pay,69,89
AE1,Female,pay,67,85
AE1,Female,pay,70,85
H7S,Male,pay,72,90
H7S,Female,pay,72,87
H7S,Female,pay,69,87
H7S,Male,pay,73,89
H7S,Female,pay,72,85
H7S,Male,pay,70,91
H7S,Male,pay,77,85
H7S,Female,pay,71,81
H7S,Female,pay,71,90
H7S,Male,pay,72,89
H7S,Male,pay,71,88
H7S,Female,pay,75,86
H7S,Female,pay,71,83
H7S,Female,pay,72,84
H7S,Female,pay,72,85
H7S,Female,pay,67,85
P8I,Male,pay,67,80
P8I,Female,pay,72,79
P8I,Female,pay,71,76
P8I,Female,pay,72,78
P8I,Male,free,66,75
P8I,Male,pay,68,79
P8I,Female,pay,65,78
P8I,Male,pay,70,79
P8I,Female,pay,71,82
P8I,Male,pay,64,77
P8I,Male,pay,70,78
P8I,Male,pay,71,80
P8I,Male,pay,70,79
P8I,Female,pay,68,73
P8I,Female,pay,69,71
P8I,Male,pay,72,79
P8I,Female,pay,68,74
P8I,Male,pay,66,77
P8I,Female,pay,69,75
P8I,Female,free,61,73
SSP,Male,pay,68,72
SSP,Male,pay,70,79
SSP,Male,pay,67,76
SSP,Female,pay,66,83
SSP,Female,pay,66,80
SSP,Male,pay,70,75
SSP,Female,pay,64,80
SSP,Male,pay,65,78
SSP,Male,pay,67,78
SSP,Male,pay,63,76
SSP,Female,pay,73,78
SSP,Female,pay,67,73
SSP,Female,pay,69,75
SSP,Male,pay,64,79
SSP,Male,pay,62,73
CD8,Female,free,59,72
CD8,Female,free,52,68
CD8,Female,free,55,68
CD8,Male,free,53,69
CD8,Female,free,51,65
CD8,Female,free,52,73
CD8,Male,free,59,71
CD8,Female,free,55,75
CD8,Female,pay,59,76
CD8,Female,free,54,72
CD8,Female,pay,60,73
CD8,Female,free,56,73
CD8,Male,free,49,70
CD8,Male,free,54,67
CD8,Female,free,53,72
CD8,Male,free,57,73
CD8,Male,free,56,74
CD8,Male,free,54,72
CD8,Female,free,57,73
CD8,Female,free,55,72
J6X,Female,free,47,60
J6X,Male,free,51,58
J6X,Female,free,53,56
J6X,Female,free,46,56
J6X,Female,pay,55,65
J6X,Male,free,47,58
J6X,Male,free,53,60
J6X,Male,free,50,60
J6X,Male,free,44,52
J6X,Male,pay,46,58
J6X,Male,free,49,62
J6X,Male,free,45,54
J6X,Male,free,47,56
J6X,Male,free,53,58
J6X,Female,free,45,57
J6X,Male,pay,51,63
KR1,Male,free,59,70
KR1,Female,free,56,70
KR1,Female,free,58,77
KR1,Female,free,54,74
KR1,Male,free,51,67
KR1,Male,free,53,66
KR1,Male,free,50,69
KR1,Male,free,54,70
KR1,Female,free,55,73
KR1,Male,pay,55,72
KR1,Male,free,51,69
KR1,Male,free,56,71
KR1,Female,free,53,68
KR1,Male,free,53,68
KR1,Female,free,46,64
341,Female,pay,43,50
341,Female,pay,44,56
341,Male,pay,43,55
341,Male,pay,38,51
341,Female,pay,47,51
341,Female,pay,45,56
341,Male,pay,45,53
341,Female,pay,50,54
341,Male,pay,39,51
341,Female,pay,44,55
341,Female,free,36,48
341,Female,pay,43,58
341,Female,pay,48,63
341,Male,pay,43,56
341,Female,pay,46,58
341,Male,pay,42,55
341,Female,pay,40,51
341,Female,pay,47,58
D33,Female,free,60,69
D33,Female,free,63,73
D33,Male,pay,58,74
D33,Female,pay,65,78
D33,Male,pay,63,76
D33,Male,pay,64,73
D33,Male,pay,65,79
D33,Male,free,63,71
D33,Male,pay,60,73
D33,Male,free,59,73
D33,Male,pay,65,77
D33,Female,pay,67,77
D33,Male,pay,66,78
D33,Female,pay,59,71
D33,Female,pay,65,75
D33,Male,pay,67,74
D33,Female,pay,65,76
D33,Female,pay,63,76
D33,Male,pay,69,77
D33,Female,pay,65,79
D33,Male,pay,63,75
DFQ,Male,pay,68,79
DFQ,Female,pay,61,72
DFQ,Female,pay,61,74
DFQ,Female,pay,60,79
DFQ,Female,pay,62,75
DFQ,Male,pay,63,80
DFQ,Female,free,60,74
DFQ,Male,pay,63,78
DFQ,Female,pay,67,82
DFQ,Male,pay,55,73
DFQ,Female,pay,58,76
DFQ,Female,pay,61,80
DFQ,Male,pay,53,79
DFQ,Male,pay,58,75
DFQ,Male,pay,66,80
DFQ,Male,pay,61,73
DFQ,Male,pay,62,77
DFQ,Female,pay,64,77
DFQ,Male,pay,56,73
GYM,Male,pay,55,62
GYM,Male,pay,48,61
GYM,Male,pay,48,62
GYM,Female,pay,48,64
GYM,Male,free,48,51
GYM,Male,pay,49,56
GYM,Male,pay,49,58
GYM,Male,pay,53,61
GYM,Male,pay,50,60
GYM,Female,pay,48,60
GYM,Female,pay,49,60
GYM,Female,pay,47,57
GYM,Female,pay,46,59
GYM,Female,free,43,56
GYM,Female,pay,54,62
GYM,Female,pay,50,64
GYM,Female,pay,52,58
GYM,Male,pay,50,59
GYM,Male,pay,51,64
GYM,Male,pay,50,55
IEM,Male,pay,40,55
IEM,Male,free,43,55
IEM,Female,pay,42,58
IEM,Female,pay,43,58
IEM,Male,pay,42,60
IEM,Male,pay,43,61
IEM,Male,pay,45,60
IEM,Female,pay,43,59
IEM,Male,pay,43,56
IEM,Male,free,41,56
IEM,Female,pay,43,59
IEM,Male,pay,44,57
IEM,Male,pay,43,63
IEM,Male,pay,44,59
IEM,Female,pay,41,57
IEM,Male,pay,51,61
IEM,Female,pay,39,58
IEM,Female,pay,44,60
IEM,Male,pay,38,52
IEM,Female,pay,42,61
IEM,Female,pay,42,62
IEM,Female,pay,46,57
7BL,Female,free,39,49
7BL,Female,free,48,54
7BL,Male,free,40,47
7BL,Female,free,46,55
7BL,Female,free,39,44
7BL,Male,free,39,51
7BL,Male,free,38,51
7BL,Female,free,43,54
7BL,Female,free,38,52
7BL,Female,free,38,49
7BL,Female,free,42,48
7BL,Male,free,43,53
7BL,Female,free,45,48
7BL,Female,free,41,48
7BL,Female,free,40,50
7BL,Female,free,43,53
7BL,Female,free,43,51
7BL,Male,free,42,49
7BL,Male,free,41,51
7BL,Female,free,57,62
7BL,Female,free,40,49
7BL,Male,free,39,50
7BL,Female,free,40,53
7BL,Male,free,43,46
7BL,Female,free,38,50
7BL,Male,free,46,54
7BL,Female,free,40,47
7BL,Female,free,35,46
7BL,Female,free,40,53
A93,Male,free,31,49
A93,Female,free,30,49
A93,Female,free,34,49
A93,Male,free,34,51
A93,Male,free,32,48
A93,Male,free,30,43
A93,Male,free,31,45
A93,Male,free,28,46
A93,Female,free,30,46
A93,Male,free,33,45
A93,Male,free,34,50
A93,Female,free,22,47
A93,Male,free,31,47
A93,Male,free,35,54
A93,Male,free,30,43
A93,Female,free,31,49
A93,Female,free,29,48
A93,Male,free,29,39
A93,Female,free,29,47
A93,Female,free,30,47
A93,Female,free,38,52
A93,Female,free,35,49
A93,Female,free,31,48
A93,Male,free,32,45
A93,Male,free,35,53
A93,Male,free,35,52
A93,Female,free,32,48
A93,Female,free,30,49
A93,Female,free,34,46
A93,Female,free,32,47
TB5,Female,free,41,51
TB5,Female,free,35,53
TB5,Female,free,37,49
TB5,Female,free,38,52
TB5,Male,free,36,45
TB5,Male,free,38,48
TB5,Male,free,40,48
TB5,Male,free,42,54
TB5,Female,free,39,54
TB5,Male,free,41,45
TB5,Male,free,40,49
TB5,Male,free,37,47
TB5,Male,free,37,51
TB5,Female,free,38,51
TB5,Male,free,42,48
TB5,Female,free,36,50
TB5,Male,free,40,49
TB5,Female,free,40,50
TB5,Female,free,40,50
TB5,Female,free,41,54
TB5,Female,free,40,49
TB5,Female,free,41,49
TB5,Male,free,40,47
TB5,Male,free,36,50
TB5,Female,pay,41,62
YTB,Female,free,34,47
YTB,Male,free,30,48
YTB,Female,pay,35,49
YTB,Male,free,37,50
YTB,Female,free,30,47
YTB,Male,free,29,48
YTB,Female,free,36,52
YTB,Female,free,32,50
YTB,Female,free,28,42
YTB,Male,free,30,47
YTB,Female,free,33,47
YTB,Male,free,33,45
YTB,Female,free,35,52
YTB,Male,free,34,53
YTB,Male,free,33,47
YTB,Male,free,32,52
YTB,Female,free,35,48
YTB,Male,free,34,46
YTB,Male,free,33,48
YTB,Female,free,30,48
YTB,Male,free,32,52
YTB,Male,free,28,45
YTB,Male,free,32,44
YTB,Male,free,31,51
YTB,Female,free,34,49
YTB,Female,free,29,44
YTB,Female,free,34,49
YTB,Male,free,33,52
YTB,Female,free,33,49
YTB,Female,free,37,52
1UU,Female,pay,66,86
1UU,Female,pay,73,83
1UU,Female,pay,65,74
1UU,Male,pay,62,81
1UU,Male,pay,66,85
1UU,Female,pay,66,81
1UU,Female,pay,70,82
1UU,Female,pay,69,82
1UU,Male,pay,68,80
1UU,Male,pay,62,82
1UU,Male,pay,60,74
1UU,Female,pay,66,91
1UU,Male,pay,65,78
1UU,Female,pay,67,81
1UU,Male,pay,66,80
1UU,Female,free,61,82
1UU,Female,pay,67,78
1UU,Male,pay,66,83
1UU,Male,free,65,81
1UU,Male,pay,61,80
1UU,Male,pay,66,80
1UU,Female,pay,62,79
1UU,Male,pay,64,77
1UU,Male,pay,70,83
4NN,Male,pay,63,75
4NN,Male,pay,65,76
4NN,Male,free,58,68
4NN,Male,pay,63,78
4NN,Female,pay,65,72
4NN,Female,pay,74,72
4NN,Female,pay,70,81
4NN,Female,pay,71,78
4NN,Male,free,61,66
4NN,Male,pay,68,73
4NN,Male,pay,62,68
4NN,Male,free,56,69
4NN,Female,pay,66,74
4NN,Female,pay,65,69
4NN,Female,pay,66,77
4NN,Male,pay,63,77
4NN,Female,pay,66,77
4NN,Male,pay,71,80
4NN,Female,free,64,69
4NN,Male,free,59,71
4NN,Female,pay,67,70
4NN,Male,pay,63,76
V77,Female,pay,79,94
V77,Male,pay,81,90
V77,Male,pay,75,94
V77,Female,pay,77,89
V77,Male,pay,68,87
V77,Male,pay,73,91
V77,Male,pay,69,89
V77,Female,pay,75,94
V77,Male,pay,69,85
V77,Female,pay,72,85
V77,Female,pay,79,93
V77,Male,pay,74,94
V77,Male,pay,76,90
V77,Female,pay,73,94
V77,Female,pay,74,87
V77,Female,pay,79,94
V77,Female,free,74,92
V77,Female,pay,72,88
V77,Male,pay,74,84
V77,Male,pay,69,86
V77,Male,pay,74,90
V77,Male,pay,70,87
V77,Male,pay,76,95
CII,Male,free,45,60
CII,Female,free,49,58
CII,Female,free,53,56
CII,Female,free,47,55
CII,Female,free,49,59
CII,Male,free,49,59
CII,Male,free,41,53
CII,Female,free,54,63
CII,Female,free,52,60
CII,Female,free,49,59
CII,Male,free,46,58
CII,Female,free,48,59
CII,Female,free,46,57
CII,Male,free,43,55
CII,Male,free,45,59
CII,Female,free,52,62
CII,Male,free,48,59
CII,Female,free,53,63
CII,Male,free,46,56
CII,Female,free,54,61
CII,Female,free,47,61
CII,Male,free,49,57
CII,Female,free,50,62
CII,Male,free,46,54
CII,Female,pay,54,60
CII,Male,free,46,55
CII,Male,pay,52,62
Q0E,Female,free,32,55
Q0E,Male,free,25,53
Q0E,Female,free,33,54
Q0E,Female,pay,44,56
Q0E,Male,free,34,54
Q0E,Female,free,38,53
Q0E,Male,free,34,50
Q0E,Female,free,39,54
Q0E,Female,free,41,55
Q0E,Female,free,36,52
Q0E,Male,free,38,53
Q0E,Male,free,38,52
Q0E,Male,free,37,52
Q0E,Female,free,35,52
Q0E,Male,free,30,48
Q0E,Female,free,38,53
Q0E,Female,free,38,50
Q0E,Female,free,36,55
Q0E,Female,free,37,57
Q0E,Female,free,35,59
Q0E,Male,free,41,54
Q0E,Male,free,37,53
Q0E,Female,free,37,54
Q0E,Female,free,39,49
Q0E,Male,free,37,53
Q0E,Female,pay,40,55
Q0E,Female,free,34,50
Q0E,Female,free,38,53
Q0E,Male,free,39,56
Q0E,Female,free,36,49
QA2,Female,free,46,49
QA2,Female,pay,43,52
QA2,Female,free,40,49
QA2,Female,free,45,51
QA2,Female,free,39,50
QA2,Male,free,39,51
QA2,Male,pay,43,53
QA2,Female,free,45,51
QA2,Female,free,44,53
QA2,Female,free,46,50
QA2,Male,free,44,54
QA2,Male,free,37,50
QA2,Female,free,41,52
QA2,Male,free,38,48
QA2,Male,free,40,53
QA2,Female,free,37,47
QA2,Female,free,38,52
QA2,Female,pay,45,57
QA2,Female,free,47,55
QA2,Female,free,44,52
QA2,Female,free,43,45
QA2,Male,free,37,46
QA2,Male,free,38,50
QA2,Male,free,41,51
QA2,Female,free,41,55
QA2,Female,free,45,53
QA2,Male,free,36,47
QA2,Female,free,42,50
QA2,Male,free,41,48
QA2,Female,free,36,48
ZBH,Male,free,41,46
ZBH,Female,free,43,52
ZBH,Female,free,39,54
ZBH,Female,free,38,49
ZBH,Female,free,42,51
ZBH,Female,free,36,43
ZBH,Male,free,36,53
ZBH,Male,free,40,48
ZBH,Female,free,42,48
ZBH,Female,free,39,49
ZBH,Female,free,40,47
ZBH,Female,pay,39,55
ZBH,Female,free,41,48
ZBH,Male,free,38,48
ZBH,Male,free,42,55
ZBH,Male,pay,46,53
ZBH,Male,free,41,49
ZBH,Female,free,42,50
ZBH,Male,pay,39,52
ZBH,Male,free,38,46
ZBH,Male,free,40,46
ZBH,Male,free,41,50
ZBH,Female,free,45,47
ZBH,Male,free,38,51
ZBH,Male,free,39,50
ZBH,Female,pay,39,55
ZBH,Female,free,38,46
ZBH,Female,free,45,51
ZBH,Male,free,46,53
ZBH,Male,free,41,48
YOU,Male,free,100,100
